Instrument:  EduRaman Pro
The Light Source Type:  532.08nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -0.3℃
pixel(2026/03/27 10:33:40)	wavelength(2026/03/27 10:33:40)	wavenumber(2026/03/27 10:33:40)	ramanshift(2026/03/27 10:33:40)	intensity(2026/03/27 10:33:40)
1	535.912	18659.77	134.39	292.000
2	535.992	18657.00	137.16	300.000
3	536.071	18654.24	139.93	351.000
4	536.151	18651.47	142.70	370.000
5	536.230	18648.70	145.47	378.000
6	536.310	18645.93	148.23	383.000
7	536.390	18643.17	151.00	385.000
8	536.469	18640.40	153.76	414.000
9	536.549	18637.64	156.53	428.000
10	536.628	18634.88	159.29	430.000
11	536.708	18632.11	162.05	417.000
12	536.787	18629.35	164.81	425.000
13	536.867	18626.59	167.58	425.000
14	536.946	18623.83	170.34	450.000
15	537.026	18621.07	173.10	459.000
16	537.106	18618.31	175.85	454.000
17	537.185	18615.55	178.61	439.000
18	537.265	18612.80	181.37	439.000
19	537.344	18610.04	184.13	464.000
20	537.424	18607.29	186.88	453.000
21	537.503	18604.53	189.64	468.000
22	537.583	18601.78	192.39	455.000
23	537.663	18599.02	195.14	443.000
24	537.742	18596.27	197.89	446.000
25	537.822	18593.52	200.65	436.000
26	537.901	18590.77	203.40	464.000
27	537.981	18588.02	206.15	467.000
28	538.061	18585.27	208.90	474.000
29	538.140	18582.52	211.65	454.000
30	538.220	18579.77	214.39	464.000
31	538.299	18577.03	217.14	463.000
32	538.379	18574.28	219.89	487.000
33	538.458	18571.53	222.63	480.000
34	538.538	18568.79	225.38	464.000
35	538.618	18566.05	228.12	473.000
36	538.697	18563.30	230.86	480.000
37	538.777	18560.56	233.61	498.000
38	538.856	18557.82	236.35	486.000
39	538.936	18555.08	239.09	485.000
40	539.016	18552.34	241.83	459.000
41	539.095	18549.60	244.57	454.000
42	539.175	18546.86	247.31	485.000
43	539.254	18544.12	250.04	472.000
44	539.334	18541.39	252.78	443.000
45	539.414	18538.65	255.52	451.000
46	539.493	18535.92	258.25	443.000
47	539.573	18533.18	260.99	444.000
48	539.652	18530.45	263.72	467.000
49	539.732	18527.71	266.45	448.000
50	539.812	18524.98	269.18	443.000
51	539.891	18522.25	271.92	449.000
52	539.971	18519.52	274.65	458.000
53	540.050	18516.79	277.38	457.000
