Instrument:  EduRaman Pro
The Light Source Type:  532.08nm laser/Tungsten lamp
Detector:  ERAM7X-1
Laser Power(%):  100%
Grating(g/mm):  1200
Slit Width:  50μm
Objective:  10x / 0.3NA
Acq. time(ms):  1000
Accumulation:  1
Spectra_type:  0-2000cm⁻¹
TimeSeq:  5
TimeCycle(ms):  100
Temperature:  -0.2℃
pixel(2026/03/27 10:29:29)	wavelength(2026/03/27 10:29:29)	wavenumber(2026/03/27 10:29:29)	ramanshift(2026/03/27 10:29:29)	intensity(2026/03/27 10:29:29)
1	535.912	18659.77	134.39	425.000
2	535.992	18657.00	137.16	488.000
3	536.071	18654.24	139.93	560.000
4	536.151	18651.47	142.70	591.000
5	536.230	18648.70	145.47	618.000
6	536.310	18645.93	148.23	645.000
7	536.390	18643.17	151.00	661.000
8	536.469	18640.40	153.76	695.000
9	536.549	18637.64	156.53	673.000
10	536.628	18634.88	159.29	651.000
11	536.708	18632.11	162.05	652.000
12	536.787	18629.35	164.81	627.000
13	536.867	18626.59	167.58	654.000
14	536.946	18623.83	170.34	644.000
15	537.026	18621.07	173.10	607.000
16	537.106	18618.31	175.85	588.000
17	537.185	18615.55	178.61	582.000
18	537.265	18612.80	181.37	597.000
19	537.344	18610.04	184.13	581.000
20	537.424	18607.29	186.88	558.000
21	537.503	18604.53	189.64	541.000
22	537.583	18601.78	192.39	537.000
23	537.663	18599.02	195.14	530.000
24	537.742	18596.27	197.89	538.000
25	537.822	18593.52	200.65	553.000
26	537.901	18590.77	203.40	543.000
27	537.981	18588.02	206.15	536.000
28	538.061	18585.27	208.90	527.000
29	538.140	18582.52	211.65	522.000
30	538.220	18579.77	214.39	560.000
31	538.299	18577.03	217.14	563.000
32	538.379	18574.28	219.89	554.000
33	538.458	18571.53	222.63	538.000
34	538.538	18568.79	225.38	561.000
35	538.618	18566.05	228.12	561.000
36	538.697	18563.30	230.86	598.000
37	538.777	18560.56	233.61	570.000
38	538.856	18557.82	236.35	553.000
39	538.936	18555.08	239.09	546.000
40	539.016	18552.34	241.83	560.000
41	539.095	18549.60	244.57	549.000
42	539.175	18546.86	247.31	549.000
43	539.254	18544.12	250.04	520.000
44	539.334	18541.39	252.78	504.000
45	539.414	18538.65	255.52	512.000
46	539.493	18535.92	258.25	490.000
47	539.573	18533.18	260.99	523.000
48	539.652	18530.45	263.72	516.000
49	539.732	18527.71	266.45	497.000
50	539.812	18524.98	269.18	505.000
51	539.891	18522.25	271.92	492.000
52	539.971	18519.52	274.65	505.000
53	540.050	18516.79	277.38	514.000
54	540.130	18514.06	280.11	516.000
55	540.210	18511.33	282.83	501.000
56	540.289	18508.60	285.56	499.000
57	540.369	18505.88	288.29	487.000
58	540.448	18503.15	291.02	481.000
59	540.528	18500.43	293.74	518.000
60	540.608	18497.70	296.46	525.000
61	540.687	18494.98	299.19	516.000
62	540.767	18492.25	301.91	499.000
63	540.847	18489.53	304.63	490.000
64	540.926	18486.81	307.36	523.000
65	541.006	18484.09	310.08	524.000
66	541.085	18481.37	312.80	518.000
67	541.165	18478.65	315.52	492.000
68	541.245	18475.93	318.23	492.000
69	541.324	18473.21	320.95	499.000
70	541.404	18470.50	323.67	514.000
71	541.484	18467.78	326.38	520.000
72	541.563	18465.07	329.10	529.000
73	541.643	18462.35	331.81	500.000
74	541.722	18459.64	334.53	495.000
75	541.802	18456.93	337.24	491.000
76	541.882	18454.21	339.95	522.000
77	541.961	18451.50	342.67	557.000
78	542.041	18448.79	345.38	524.000
79	542.121	18446.08	348.09	506.000
80	542.200	18443.37	350.80	505.000
81	542.280	18440.66	353.50	533.000
82	542.359	18437.96	356.21	545.000
83	542.439	18435.25	358.92	502.000
84	542.519	18432.54	361.62	514.000
85	542.598	18429.84	364.33	508.000
86	542.678	18427.13	367.03	536.000
87	542.758	18424.43	369.74	529.000
88	542.837	18421.72	372.44	514.000
89	542.917	18419.02	375.14	514.000
90	542.997	18416.32	377.85	503.000
91	543.076	18413.62	380.55	533.000
92	543.156	18410.92	383.25	534.000
93	543.236	18408.22	385.95	522.000
94	543.315	18405.52	388.64	514.000
95	543.395	18402.82	391.34	513.000
96	543.475	18400.13	394.04	544.000
97	543.554	18397.43	396.74	543.000
98	543.634	18394.74	399.43	534.000
99	543.713	18392.04	402.13	529.000
100	543.793	18389.35	404.82	563.000
101	543.873	18386.65	407.51	568.000
102	543.952	18383.96	410.21	587.000
103	544.032	18381.27	412.90	569.000
104	544.112	18378.58	415.59	561.000
105	544.191	18375.89	418.28	568.000
106	544.271	18373.20	420.97	560.000
107	544.351	18370.51	423.66	571.000
108	544.430	18367.82	426.34	585.000
109	544.510	18365.13	429.03	579.000
110	544.590	18362.45	431.72	579.000
111	544.669	18359.76	434.40	565.000
112	544.749	18357.08	437.09	568.000
113	544.829	18354.39	439.77	591.000
114	544.908	18351.71	442.46	588.000
115	544.988	18349.03	445.14	540.000
116	545.068	18346.35	447.82	553.000
117	545.147	18343.66	450.50	544.000
118	545.227	18340.98	453.18	551.000
119	545.307	18338.30	455.86	560.000
120	545.386	18335.63	458.54	552.000
121	545.466	18332.95	461.22	543.000
122	545.546	18330.27	463.90	522.000
123	545.625	18327.59	466.57	517.000
124	545.705	18324.92	469.25	546.000
125	545.785	18322.24	471.92	558.000
126	545.864	18319.57	474.60	556.000
127	545.944	18316.89	477.27	532.000
128	546.024	18314.22	479.94	535.000
129	546.103	18311.55	482.62	542.000
130	546.183	18308.88	485.29	574.000
131	546.263	18306.21	487.96	560.000
132	546.342	18303.54	490.63	527.000
133	546.422	18300.87	493.30	550.000
134	546.502	18298.20	495.97	539.000
135	546.582	18295.53	498.63	551.000
136	546.661	18292.87	501.30	559.000
137	546.741	18290.20	503.97	516.000
138	546.821	18287.53	506.63	530.000
139	546.900	18284.87	509.30	539.000
140	546.980	18282.21	511.96	550.000
141	547.060	18279.54	514.62	557.000
142	547.139	18276.88	517.29	556.000
143	547.219	18274.22	519.95	542.000
144	547.299	18271.56	522.61	563.000
145	547.378	18268.90	525.27	567.000
146	547.458	18266.24	527.93	585.000
147	547.538	18263.58	530.59	589.000
148	547.617	18260.92	533.24	578.000
149	547.697	18258.26	535.90	533.000
150	547.777	18255.61	538.56	531.000
151	547.857	18252.95	541.21	530.000
152	547.936	18250.30	543.87	561.000
153	548.016	18247.64	546.52	545.000
154	548.096	18244.99	549.18	538.000
155	548.175	18242.34	551.83	540.000
156	548.255	18239.69	554.48	553.000
157	548.335	18237.03	557.13	547.000
158	548.414	18234.38	559.78	555.000
159	548.494	18231.73	562.43	556.000
160	548.574	18229.09	565.08	567.000
161	548.654	18226.44	567.73	542.000
162	548.733	18223.79	570.38	553.000
163	548.813	18221.14	573.02	537.000
164	548.893	18218.50	575.67	539.000
165	548.972	18215.85	578.31	564.000
166	549.052	18213.21	580.96	558.000
167	549.132	18210.56	583.60	538.000
168	549.212	18207.92	586.25	531.000
169	549.291	18205.28	588.89	524.000
170	549.371	18202.64	591.53	547.000
171	549.451	18200.00	594.17	552.000
172	549.530	18197.36	596.81	521.000
173	549.610	18194.72	599.45	529.000
174	549.690	18192.08	602.09	516.000
175	549.770	18189.44	604.73	516.000
176	549.849	18186.80	607.36	523.000
177	549.929	18184.17	610.00	544.000
178	550.009	18181.53	612.63	494.000
179	550.088	18178.90	615.27	487.000
180	550.168	18176.26	617.90	487.000
181	550.248	18173.63	620.54	482.000
182	550.328	18171.00	623.17	515.000
183	550.407	18168.36	625.80	522.000
184	550.487	18165.73	628.43	499.000
185	550.567	18163.10	631.06	507.000
186	550.646	18160.47	633.69	471.000
187	550.726	18157.84	636.32	470.000
188	550.806	18155.22	638.95	454.000
189	550.886	18152.59	641.58	475.000
190	550.965	18149.96	644.20	491.000
191	551.045	18147.34	646.83	489.000
192	551.125	18144.71	649.46	458.000
193	551.205	18142.09	652.08	490.000
194	551.284	18139.46	654.70	458.000
195	551.364	18136.84	657.33	478.000
196	551.444	18134.22	659.95	478.000
197	551.523	18131.60	662.57	468.000
198	551.603	18128.98	665.19	443.000
199	551.683	18126.35	667.81	451.000
200	551.763	18123.74	670.43	448.000
201	551.842	18121.12	673.05	458.000
202	551.922	18118.50	675.67	461.000
203	552.002	18115.88	678.28	434.000
204	552.082	18113.27	680.90	446.000
205	552.161	18110.65	683.52	414.000
206	552.241	18108.03	686.13	422.000
207	552.321	18105.42	688.75	426.000
208	552.401	18102.81	691.36	428.000
209	552.480	18100.19	693.97	446.000
210	552.560	18097.58	696.58	427.000
211	552.640	18094.97	699.20	422.000
212	552.719	18092.36	701.81	415.000
213	552.799	18089.75	704.42	429.000
214	552.879	18087.14	707.02	422.000
215	552.959	18084.53	709.63	433.000
216	553.038	18081.93	712.24	407.000
217	553.118	18079.32	714.85	406.000
218	553.198	18076.71	717.45	415.000
219	553.278	18074.11	720.06	430.000
220	553.357	18071.50	722.66	416.000
221	553.437	18068.90	725.27	427.000
222	553.517	18066.30	727.87	442.000
223	553.597	18063.69	730.47	444.000
224	553.676	18061.09	733.08	443.000
225	553.756	18058.49	735.68	428.000
226	553.836	18055.89	738.28	418.000
227	553.916	18053.29	740.88	394.000
228	553.995	18050.69	743.48	416.000
229	554.075	18048.09	746.07	437.000
230	554.155	18045.50	748.67	426.000
231	554.235	18042.90	751.27	424.000
232	554.314	18040.30	753.86	442.000
233	554.394	18037.71	756.46	461.000
234	554.474	18035.11	759.05	466.000
235	554.554	18032.52	761.65	445.000
236	554.633	18029.93	764.24	420.000
237	554.713	18027.33	766.83	417.000
238	554.793	18024.74	769.42	445.000
239	554.873	18022.15	772.02	462.000
240	554.952	18019.56	774.61	442.000
241	555.032	18016.97	777.19	439.000
242	555.112	18014.38	779.78	437.000
243	555.192	18011.79	782.37	453.000
244	555.272	18009.21	784.96	473.000
245	555.351	18006.62	787.55	497.000
246	555.431	18004.04	790.13	502.000
247	555.511	18001.45	792.72	489.000
248	555.591	17998.87	795.30	500.000
249	555.670	17996.28	797.88	518.000
250	555.750	17993.70	800.47	520.000
251	555.830	17991.12	803.05	506.000
252	555.910	17988.54	805.63	456.000
253	555.989	17985.95	808.21	452.000
254	556.069	17983.37	810.79	437.000
255	556.149	17980.80	813.37	454.000
256	556.229	17978.22	815.95	452.000
257	556.308	17975.64	818.53	440.000
258	556.388	17973.06	821.10	431.000
259	556.468	17970.49	823.68	408.000
260	556.548	17967.91	826.26	413.000
261	556.628	17965.33	828.83	431.000
262	556.707	17962.76	831.41	431.000
263	556.787	17960.19	833.98	431.000
264	556.867	17957.61	836.55	410.000
265	556.947	17955.04	839.12	399.000
266	557.026	17952.47	841.70	393.000
267	557.106	17949.90	844.27	414.000
268	557.186	17947.33	846.84	429.000
269	557.266	17944.76	849.41	433.000
270	557.346	17942.19	851.97	415.000
271	557.425	17939.62	854.54	395.000
272	557.505	17937.06	857.11	394.000
273	557.585	17934.49	859.68	399.000
274	557.665	17931.93	862.24	413.000
275	557.744	17929.36	864.81	423.000
276	557.824	17926.80	867.37	416.000
277	557.904	17924.23	869.93	399.000
278	557.984	17921.67	872.50	400.000
279	558.064	17919.11	875.06	408.000
280	558.143	17916.55	877.62	406.000
281	558.223	17913.99	880.18	418.000
282	558.303	17911.43	882.74	397.000
283	558.383	17908.87	885.30	403.000
284	558.462	17906.31	887.86	415.000
285	558.542	17903.75	890.42	422.000
286	558.622	17901.19	892.97	425.000
287	558.702	17898.64	895.53	432.000
288	558.782	17896.08	898.08	434.000
289	558.861	17893.53	900.64	443.000
290	558.941	17890.97	903.19	434.000
291	559.021	17888.42	905.75	452.000
292	559.101	17885.87	908.30	467.000
293	559.180	17883.31	910.85	463.000
294	559.260	17880.76	913.40	464.000
295	559.340	17878.21	915.95	478.000
296	559.420	17875.66	918.50	483.000
297	559.500	17873.11	921.05	462.000
298	559.579	17870.56	923.60	458.000
299	559.659	17868.02	926.15	449.000
300	559.739	17865.47	928.70	434.000
301	559.819	17862.92	931.24	443.000
302	559.899	17860.38	933.79	470.000
303	559.978	17857.83	936.33	486.000
304	560.058	17855.29	938.88	480.000
305	560.138	17852.74	941.42	482.000
306	560.218	17850.20	943.96	454.000
307	560.298	17847.66	946.51	464.000
308	560.377	17845.12	949.05	472.000
309	560.457	17842.58	951.59	481.000
310	560.537	17840.04	954.13	443.000
311	560.617	17837.50	956.67	442.000
312	560.697	17834.96	959.21	474.000
313	560.776	17832.42	961.74	483.000
314	560.856	17829.88	964.28	471.000
315	560.936	17827.35	966.82	453.000
316	561.016	17824.81	969.35	456.000
317	561.096	17822.28	971.89	459.000
318	561.175	17819.74	974.42	456.000
319	561.255	17817.21	976.96	505.000
320	561.335	17814.68	979.49	499.000
321	561.415	17812.14	982.02	483.000
322	561.495	17809.61	984.55	458.000
323	561.574	17807.08	987.08	494.000
324	561.654	17804.55	989.61	513.000
325	561.734	17802.02	992.14	532.000
326	561.814	17799.49	994.67	531.000
327	561.894	17796.97	997.20	548.000
328	561.973	17794.44	999.73	530.000
329	562.053	17791.91	1002.25	505.000
330	562.133	17789.39	1004.78	479.000
331	562.213	17786.86	1007.30	489.000
332	562.293	17784.34	1009.83	503.000
333	562.372	17781.81	1012.35	491.000
334	562.452	17779.29	1014.88	484.000
335	562.532	17776.77	1017.40	478.000
336	562.612	17774.25	1019.92	518.000
337	562.692	17771.73	1022.44	523.000
338	562.771	17769.21	1024.96	516.000
339	562.851	17766.69	1027.48	513.000
340	562.931	17764.17	1030.00	509.000
341	563.011	17761.65	1032.52	515.000
342	563.091	17759.13	1035.03	540.000
343	563.170	17756.61	1037.55	554.000
344	563.250	17754.10	1040.07	541.000
345	563.330	17751.58	1042.58	523.000
346	563.410	17749.07	1045.10	525.000
347	563.490	17746.56	1047.61	549.000
348	563.569	17744.04	1050.12	560.000
349	563.649	17741.53	1052.64	568.000
350	563.729	17739.02	1055.15	550.000
